chrom,start,end,strand,pattern,subpattern
chr1,99801,99821,+,pos/pattern_2,
chr1,100000,100020,-,pos/pattern_0,
chr1,100164,100184,+,pos/pattern_1,
chr1,117960,117980,-,pos/pattern_1,
chr1,118000,118020,-,pos/pattern_0,
chr1,118239,118259,-,pos/pattern_2,
chr1,136000,136020,+,pos/pattern_0,
chr1,136040,136060,+,pos/pattern_1,
chr1,136234,136254,+,pos/pattern_2,
chr1,153960,153980,-,pos/pattern_1,
chr1,154000,154020,-,pos/pattern_0,
chr1,154151,154171,+,pos/pattern_2,
chr1,171938,171958,-,pos/pattern_2,
chr1,172000,172020,+,pos/pattern_0,
chr1,172139,172159,-,pos/pattern_1,
chr1,189960,189980,-,pos/pattern_1,
chr1,190000,190020,-,pos/pattern_0,
chr1,190070,190090,+,pos/pattern_2,
chr1,207926,207946,+,pos/pattern_2,
chr1,207960,207980,-,pos/pattern_1,
chr1,208000,208020,-,pos/pattern_0,
chr1,226000,226020,+,pos/pattern_0,
chr1,226040,226060,+,pos/pattern_1,
chr1,226212,226232,-,pos/pattern_2,
chr1,243960,243980,-,pos/pattern_1,
chr1,244000,244020,-,pos/pattern_0,
chr1,244092,244112,-,pos/pattern_2,
chr1,261799,261819,-,pos/pattern_2,
chr1,261960,261980,-,pos/pattern_1,
chr1,262000,262020,-,pos/pattern_0,
chr1,280000,280020,+,pos/pattern_0,
chr1,280134,280154,+,pos/pattern_2,
chr1,280146,280166,-,pos/pattern_1,
chr1,298000,298020,+,pos/pattern_0,
chr1,298040,298060,+,pos/pattern_1,
chr1,298106,298126,+,pos/pattern_2,
chr1,315885,315905,+,pos/pattern_1,
chr1,316000,316020,-,pos/pattern_0,
chr1,316197,316217,-,pos/pattern_2,
chr1,333782,333802,-,pos/pattern_2,
chr1,334000,334020,+,pos/pattern_0,
chr1,334195,334215,-,pos/pattern_1,
chr1,351960,351980,-,pos/pattern_1,
chr1,352000,352020,-,pos/pattern_0,
chr1,352089,352109,-,pos/pattern_2,
chr1,370000,370020,+,pos/pattern_0,
chr1,370040,370060,+,pos/pattern_1,
chr1,370126,370146,+,pos/pattern_2,
chr1,387789,387809,-,pos/pattern_2,
chr1,387960,387980,-,pos/pattern_1,
chr1,388000,388020,-,pos/pattern_0,
chr1,405960,405980,-,pos/pattern_1,
chr1,406000,406020,-,pos/pattern_0,
chr1,406190,406210,-,pos/pattern_2,
chr1,423761,423781,+,pos/pattern_2,
chr1,423868,423888,-,pos/pattern_1,
chr1,424000,424020,-,pos/pattern_0,
chr1,441922,441942,-,pos/pattern_2,
chr1,441960,441980,-,pos/pattern_1,
chr1,442000,442020,-,pos/pattern_0,
chr1,459918,459938,+,pos/pattern_2,
chr1,460000,460020,+,pos/pattern_0,
chr1,460040,460060,+,pos/pattern_1,
chr1,477859,477879,-,pos/pattern_2,
chr1,478000,478020,+,pos/pattern_0,
chr1,478104,478124,-,pos/pattern_1,
chr1,496000,496020,+,pos/pattern_0,
chr1,496040,496060,+,pos/pattern_1,
chr1,496089,496109,-,pos/pattern_2,
chr1,513960,513980,-,pos/pattern_1,
chr1,514000,514020,-,pos/pattern_0,
chr1,514182,514202,-,pos/pattern_2,
chr1,532000,532020,-,pos/pattern_0,
chr1,532074,532094,-,pos/pattern_2,
chr1,532196,532216,+,pos/pattern_1,
chr1,549767,549787,-,pos/pattern_1,
chr1,550000,550020,+,pos/pattern_0,
chr1,550207,550227,+,pos/pattern_2,
chr1,567868,567888,+,pos/pattern_2,
chr1,568000,568020,-,pos/pattern_0,
chr1,568144,568164,-,pos/pattern_1,
chr1,585960,585980,-,pos/pattern_1,
chr1,586000,586020,-,pos/pattern_0,
chr1,586136,586156,-,pos/pattern_2,
chr1,603796,603816,-,pos/pattern_1,
chr1,604000,604020,+,pos/pattern_0,
chr1,604128,604148,-,pos/pattern_2,
chr1,621774,621794,-,pos/pattern_2,
chr1,622000,622020,+,pos/pattern_0,
chr1,622093,622113,+,pos/pattern_1,
